,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
654,143,"Monday, Sep 14",boxscore,BOS,@,BAL,L,0,2,,68-75,5,14,Gausman,Rodriguez,Britton,2:56,N,19666,-,,2015
655,144,"Tuesday, Sep 15",boxscore,BOS,@,BAL,L-wo,5,6,13,68-76,5,14,Roe,Aro,,4:20,N,21260,--,,2015
656,145,"Wednesday, Sep 16",boxscore,BOS,@,BAL,W,10,1,,69-76,5,14,Owens,Wright,,2:51,N,22642,+,,2015
657,146,"Friday, Sep 18",boxscore,BOS,@,TOR,L,1,6,,69-77,5,15.5,Stroman,Porcello,,2:32,N,47126,-,,2015
658,147,"Saturday, Sep 19",boxscore,BOS,@,TOR,W,7,6,,70-77,5,14.5,Layne,Osuna,Ross,3:08,D,47415,+,,2015
659,148,"Sunday, Sep 20",boxscore,BOS,@,TOR,W,4,3,,71-77,5,13.5,Hill,Cecil,Ross,2:51,D,46743,++,,2015
660,149,"Monday, Sep 21",boxscore,BOS,,TBR,W,8,7,,72-77,4,13.5,Machi,Gomes,Ross,3:47,N,33673,+++,,2015
661,150,"Tuesday, Sep 22",boxscore,BOS,,TBR,L,2,5,,72-78,5,13.5,Moore,Owens,Boxberger,2:43,N,33673,-,,2015
662,151,"Wednesday, Sep 23",boxscore,BOS,,TBR,L,2,6,,72-79,5,14.5,Smyly,Porcello,Boxberger,3:30,N,32753,--,,2015
663,152,"Thursday, Sep 24",boxscore,BOS,,TBR,L,2,4,,72-80,5,15,Ramirez,Miley,Boxberger,2:39,N,34916,---,,2015
664,153,"Friday, Sep 25",boxscore,BOS,,BAL,W,7,0,,73-80,5,15,Hill,Gausman,,2:42,N,32411,+,,2015
665,154,"Saturday, Sep 26",boxscore,BOS,,BAL,W,8,0,,74-80,5,15,Hembree,Chen,,2:56,D,36316,++,,2015
666,155,"Sunday, Sep 27",boxscore,BOS,,BAL,W,2,0,,75-80,4,15,Owens,Jimenez,Ross,2:28,D,33306,+++,,2015
667,156,"Monday, Sep 28",boxscore,BOS,@,NYY,W,5,1,,76-80,3,15,Rodriguez,Nova,,2:56,N,39476,++++,,2015
668,157,"Tuesday, Sep 29",boxscore,BOS,@,NYY,W,10,4,,77-80,3,14.5,Porcello,Pineda,,2:57,N,38512,+++++,,2015
669,158,"Wednesday, Sep 30",boxscore,BOS,@,NYY,W,9,5,11,78-80,3,14,Ogando,Bailey,,4:10,N,39328,++++++,,2015
670,Gm#,October,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
671,159,"Thursday, Oct 1",boxscore,BOS,@,NYY,L,1,4,,78-81,3,14,Sabathia,Hill,Betances,3:10,N,40033,-,,2015
672,160,"Friday, Oct 2",boxscore,BOS,@,CLE,L,2,8,,78-82,4,15,Tomlin,Owens,,3:00,N,28273,--,,2015
673,161,"Saturday, Oct 3",boxscore,BOS,@,CLE,L,0,2,,78-83,5,15,Kluber,Breslow,Allen,2:41,N,17342,---,,2015
674,162,"Sunday, Oct 4",boxscore,BOS,@,CLE,L,1,3,,78-84,5,15,Salazar,Porcello,Allen,2:46,D,17844,----,,2015
675,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
676,1,"Tuesday, Apr 5",boxscore,BOS,@,CLE,W,6,2,,Jan-00,1,Tied,Price,Kluber,,3:13,D,34493,+,2016-04-04 (Cold),2016
677,2,"Wednesday, Apr 6",boxscore,BOS,@,CLE,L,6,7,,1-Jan,2,1,McAllister,Tazawa,Allen,3:29,N,10298,-,,2016
