,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
233,62,"Saturday, Jun 8 (1)",boxscore,BOS,,LAA,L,5,9,,37-25,1,up 1.5,Hanson,Doubront,Frieri,4:00,D,34499,-,,2013
234,63,"Saturday, Jun 8 (2)",boxscore,BOS,,LAA,W,7,2,,38-25,1,up 1.5,Buchholz,Wilson,,3:25,N,36518,+,2013-06-07 (Rain),2013
235,64,"Sunday, Jun 9",boxscore,BOS,,LAA,W,10,5,,39-25,1,up 1.5,Dempster,Blanton,,3:33,D,37054,++,,2013
236,65,"Monday, Jun 10",boxscore,BOS,@,TBR,W,10,8,14,40-25,1,up 2.0,Morales,Ramos,,5:24,N,15477,+++,,2013
237,66,"Tuesday, Jun 11",boxscore,BOS,@,TBR,L,3,8,,40-26,1,up 2.0,Hernandez,Lester,,3:06,N,16870,-,,2013
238,67,"Wednesday, Jun 12",boxscore,BOS,@,TBR,W,2,1,,41-26,1,up 3.0,Aceves,Archer,Bailey,3:22,N,15091,+,,2013
239,68,"Thursday, Jun 13",boxscore,BOS,@,BAL,L-wo,4,5,13,41-27,1,up 2.5,McFarland,Wilson,,4:35,N,20098,-,,2013
240,69,"Friday, Jun 14",boxscore,BOS,@,BAL,L,0,2,,41-28,1,up 1.5,Tillman,Dempster,Johnson,2:43,N,39158,--,,2013
241,70,"Saturday, Jun 15",boxscore,BOS,@,BAL,W,5,4,,42-28,1,up 2.5,Lackey,Garcia,Bailey,2:48,D,42422,+,,2013
242,71,"Sunday, Jun 16",boxscore,BOS,@,BAL,L,3,6,,42-29,1,up 1.5,Gonzalez,Lester,Johnson,3:06,D,41311,-,,2013
243,72,"Tuesday, Jun 18 (1)",boxscore,BOS,,TBR,W,5,1,,43-29,1,up 2.5,Aceves,Archer,,3:10,D,33430,+,,2013
244,73,"Tuesday, Jun 18 (2)",boxscore,BOS,,TBR,W-wo,3,1,,44-29,1,up 2.5,Bailey,Peralta,,2:27,N,32156,++,2013-04-12 (Rain),2013
245,74,"Wednesday, Jun 19",boxscore,BOS,,TBR,L,2,6,,44-30,1,up 1.5,Hellickson,Dempster,,3:21,N,35710,-,,2013
246,75,"Thursday, Jun 20",boxscore,BOS,@,DET,L-wo,3,4,,44-31,1,up 1.0,Smyly,Bailey,,2:53,N,36939,--,,2013
247,76,"Friday, Jun 21",boxscore,BOS,@,DET,W,10,6,,45-31,1,up 2.0,Lester,Fister,,3:16,N,41126,+,,2013
248,77,"Saturday, Jun 22",boxscore,BOS,@,DET,L,3,10,,45-32,1,up 2.0,Scherzer,Webster,,3:05,N,42508,-,,2013
249,78,"Sunday, Jun 23",boxscore,BOS,@,DET,L,5,7,,45-33,1,up 2.0,Benoit,Miller,,3:47,D,41507,--,,2013
250,79,"Tuesday, Jun 25",boxscore,BOS,,COL,W,11,4,,46-33,1,up 2.5,Dempster,Nicasio,,3:40,N,36286,+,,2013
251,80,"Wednesday, Jun 26",boxscore,BOS,,COL,W,5,3,,47-33,1,up 3.5,Lackey,Oswalt,Uehara,2:36,D,34632,++,,2013
252,81,"Thursday, Jun 27",boxscore,BOS,,TOR,W,7,4,,48-33,1,up 3.5,Lester,Wang,Uehara,2:34,N,34750,+++,,2013
253,82,"Friday, Jun 28",boxscore,BOS,,TOR,W,7,5,,49-33,1,up 3.5,Miller,Wagner,Uehara,3:22,N,36383,++++,,2013
254,83,"Saturday, Jun 29",boxscore,BOS,,TOR,L,2,6,,49-34,1,up 2.5,Delabar,Tazawa,,3:05,D,37437,-,,2013
255,84,"Sunday, Jun 30",boxscore,BOS,,TOR,W-wo,5,4,,50-34,1,up 2.5,Uehara,Perez,,3:10,D,37425,+,,2013
256,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2013
257,85,"Tuesday, Jul 2",boxscore,BOS,,SDP,W,4,1,,51-34,1,up 3.5,Lackey,Erlin,Uehara,2:48,N,36498,++,,2013
258,86,"Wednesday, Jul 3",boxscore,BOS,,SDP,W-wo,2,1,,52-34,1,up 3.5,Uehara,Gregerson,,3:05,N,36911,+++,,2013
259,87,"Thursday, Jul 4",boxscore,BOS,,SDP,W,8,2,,53-34,1,up 4.5,Webster,Stults,,3:21,D,37607,++++,,2013
260,88,"Friday, Jul 5",boxscore,BOS,@,LAA,W,6,2,,54-34,1,up 5.5,Doubront,Wilson,,3:14,N,37092,+++++,,2013
261,89,"Saturday, Jul 6",boxscore,BOS,@,LAA,L-wo,7,9,11,54-35,1,up 5.0,De La Rosa,Breslow,,4:22,N,36112,-,,2013
262,90,"Sunday, Jul 7",boxscore,BOS,@,LAA,L,0,3,,54-36,1,up 4.5,Weaver,Lackey,Frieri,2:57,N,39018,--,,2013
263,91,"Monday, Jul 8",boxscore,BOS,@,SEA,L,4,11,,54-37,1,up 3.5,Hernandez,Lester,,3:21,N,21830,---,,2013
264,92,"Tuesday, Jul 9",boxscore,BOS,@,SEA,W,11,8,,55-37,1,up 3.5,Breslow,Beavan,Uehara,3:44,N,21076,+,,2013
265,93,"Wednesday, Jul 10",boxscore,BOS,@,SEA,W,11,4,,56-37,1,up 3.5,Doubront,Harang,,3:23,N,20468,++,,2013
266,94,"Thursday, Jul 11",boxscore,BOS,@,SEA,W,8,7,10,57-37,1,up 3.5,Wright,Wilhelmsen,Uehara,4:04,D,25367,+++,,2013
267,95,"Friday, Jul 12",boxscore,BOS,@,OAK,W,4,2,,58-37,1,up 4.5,Lackey,Doolittle,Uehara,3:06,N,27084,++++,,2013
268,96,"Saturday, Jul 13",boxscore,BOS,@,OAK,L,0,3,,58-38,1,up 3.5,Griffin,Lester,Balfour,2:49,N,36067,-,,2013
269,97,"Sunday, Jul 14",boxscore,BOS,@,OAK,L-wo,2,3,11,58-39,1,up 2.5,Cook,Thornton,,3:34,D,31417,--,,2013
270,98,"Friday, Jul 19",boxscore,BOS,,NYY,W,4,2,,59-39,1,up 2.5,Doubront,Pettitte,Uehara,2:55,N,38130,+,,2013
271,99,"Saturday, Jul 20",boxscore,BOS,,NYY,L,2,5,,59-40,1,up 1.5,Kuroda,Lackey,Rivera,3:12,D,37601,-,,2013
272,100,"Sunday, Jul 21",boxscore,BOS,,NYY,W-wo,8,7,11,60-40,1,up 1.5,Beato,Warren,,4:46,N,38138,+,,2013
273,101,"Monday, Jul 22",boxscore,BOS,,TBR,L,0,3,,60-41,1,up 0.5,Moore,Workman,,2:52,N,35016,-,,2013
274,102,"Tuesday, Jul 23",boxscore,BOS,,TBR,W,6,2,,61-41,1,up 1.5,Lester,Hernandez,,3:06,N,34609,+,,2013
275,103,"Wednesday, Jul 24",boxscore,BOS,,TBR,L,1,5,,61-42,1,up 0.5,Price,Doubront,,3:00,N,36514,-,,2013
276,104,"Friday, Jul 26",boxscore,BOS,@,BAL,L,0,6,,61-43,2,0.5,Tillman,Lackey,,2:35,N,39063,--,,2013
277,105,"Saturday, Jul 27",boxscore,BOS,@,BAL,W,7,3,,62-43,2,0.5,Dempster,Feldman,,3:21,N,44765,+,,2013
278,106,"Sunday, Jul 28",boxscore,BOS,@,BAL,W,5,0,,63-43,1,up 0.5,Lester,Hammel,,2:58,D,32891,++,,2013
279,107,"Monday, Jul 29",boxscore,BOS,,TBR,L,1,2,,63-44,2,0.5,Price,Doubront,Rodney,3:21,N,37242,-,2013-07-25 (Rain),2013
280,108,"Tuesday, Jul 30",boxscore,BOS,,SEA,W,8,2,,64-44,2,0.5,Workman,Saunders,,2:44,N,34578,+,,2013
281,109,"Wednesday, Jul 31",boxscore,BOS,,SEA,W-wo,5,4,15,65-44,1,up 0.5,Britton,Luetge,,5:03,N,35059,++,,2013
282,Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2013
283,110,"Thursday, Aug 1",boxscore,BOS,,SEA,W-wo,8,7,,66-44,1,up 1.0,Wright,Perez,,3:17,N,35886,+++,,2013
284,111,"Friday, Aug 2",boxscore,BOS,,ARI,L,6,7,,66-45,1,up 1.0,Delgado,Beato,Ziegler,3:32,N,37652,-,,2013
285,112,"Saturday, Aug 3",boxscore,BOS,,ARI,W,5,2,,67-45,1,up 1.0,Peavy,Corbin,Uehara,3:02,N,37941,+,,2013
286,113,"Sunday, Aug 4",boxscore,BOS,,ARI,W,4,0,,68-45,1,up 1.0,Doubront,McCarthy,,3:16,D,37611,++,,2013
287,114,"Monday, Aug 5",boxscore,BOS,@,HOU,L,0,2,,68-46,1,up 0.5,Oberholtzer,Lackey,Fields,3:11,N,24543,-,,2013
288,115,"Tuesday, Aug 6",boxscore,BOS,@,HOU,W,15,10,,69-46,1,up 1.5,Workman,Lyles,,3:54,N,21620,+,,2013
289,116,"Wednesday, Aug 7",boxscore,BOS,@,HOU,W,7,5,,70-46,1,up 2.5,Tazawa,Fields,Uehara,3:53,N,22205,++,,2013
290,117,"Thursday, Aug 8",boxscore,BOS,@,KCR,L,1,5,,70-47,1,up 2.0,Chen,Lester,Hochevar,2:38,N,21121,-,,2013
291,118,"Friday, Aug 9",boxscore,BOS,@,KCR,L,6,9,,70-48,1,up 2.0,Bueno,Britton,Holland,3:25,N,29485,--,,2013
292,119,"Saturday, Aug 10",boxscore,BOS,@,KCR,W,5,3,,71-48,1,up 3.0,Workman,Guthrie,Uehara,3:28,N,38742,+,,2013
293,120,"Sunday, Aug 11",boxscore,BOS,@,KCR,L,3,4,,71-49,1,up 3.0,Shields,Lackey,Holland,2:56,D,24935,-,,2013
294,121,"Tuesday, Aug 13",boxscore,BOS,@,TOR,W,4,2,11,72-49,1,up 4.0,Uehara,Loup,,3:37,N,32816,+,,2013
295,122,"Wednesday, Aug 14",boxscore,BOS,@,TOR,L-wo,3,4,10,72-50,1,up 3.0,Lincoln,Workman,,3:20,N,31695,-,,2013
296,123,"Thursday, Aug 15",boxscore,BOS,@,TOR,L,1,2,,72-51,1,up 2.0,Buehrle,Peavy,Janssen,2:43,N,40477,--,,2013
297,124,"Friday, Aug 16",boxscore,BOS,,NYY,L,3,10,,72-52,1,up 1.0,Pettitte,Doubront,,3:31,N,38143,---,,2013
298,125,"Saturday, Aug 17",boxscore,BOS,,NYY,W,6,1,,73-52,1,up 2.0,Lackey,Kuroda,,3:26,D,37517,+,,2013
299,126,"Sunday, Aug 18",boxscore,BOS,,NYY,L,6,9,,73-53,1,up 1.0,Sabathia,Dempster,Rivera,4:12,N,37917,-,,2013
300,127,"Monday, Aug 19",boxscore,BOS,@,SFG,W,7,0,,74-53,1,up 1.0,Lester,Lincecum,,2:59,N,41585,+,,2013
301,128,"Tuesday, Aug 20",boxscore,BOS,@,SFG,L-wo,2,3,,74-54,1,Tied,Romo,Morales,,2:59,N,41551,-,,2013
302,129,"Wednesday, Aug 21",boxscore,BOS,@,SFG,W,12,1,,75-54,1,up 1.0,Doubront,Zito,,2:46,D,41532,+,,2013
303,130,"Friday, Aug 23",boxscore,BOS,@,LAD,L,0,2,,75-55,1,Tied,Nolasco,Lackey,Jansen,2:07,N,50240,-,,2013
304,131,"Saturday, Aug 24",boxscore,BOS,@,LAD,W,4,2,,76-55,1,Tied,Lester,Ryu,Uehara,3:14,D,48165,+,,2013
305,132,"Sunday, Aug 25",boxscore,BOS,@,LAD,W,8,1,,77-55,1,up 1.0,Peavy,Capuano,,3:00,N,44109,++,,2013
306,133,"Tuesday, Aug 27",boxscore,BOS,,BAL,W,13,2,,78-55,1,up 2.5,Doubront,Chen,,2:59,N,36226,+++,,2013
307,134,"Wednesday, Aug 28",boxscore,BOS,,BAL,W,4,3,,79-55,1,up 2.5,Breslow,Hunter,Uehara,3:00,N,31962,++++,,2013
308,135,"Thursday, Aug 29",boxscore,BOS,,BAL,L,2,3,,79-56,1,up 2.5,Tillman,Lester,Johnson,3:20,N,33300,-,,2013
309,136,"Friday, Aug 30",boxscore,BOS,,CHW,W,4,3,,80-56,1,up 3.5,Dempster,Santiago,Uehara,3:09,N,36063,+,,2013
310,137,"Saturday, Aug 31",boxscore,BOS,,CHW,W,7,2,,81-56,1,up 4.5,Peavy,Danks,,3:11,N,37363,++,,2013
311,Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2013
312,138,"Sunday, Sep 1",boxscore,BOS,,CHW,W,7,6,,82-56,1,up 5.5,Workman,Rienzo,Uehara,3:39,D,37053,+++,,2013
313,139,"Monday, Sep 2",boxscore,BOS,,DET,L,0,3,,82-57,1,up 5.5,Fister,Lackey,Veras,2:59,D,36188,-,,2013
314,140,"Tuesday, Sep 3",boxscore,BOS,,DET,W,2,1,,83-57,1,up 5.5,Lester,Scherzer,Uehara,2:56,N,32071,+,,2013
315,141,"Wednesday, Sep 4",boxscore,BOS,,DET,W,20,4,,84-57,1,up 5.5,Dempster,Porcello,,3:33,N,33720,++,,2013
316,142,"Thursday, Sep 5",boxscore,BOS,@,NYY,W,9,8,10,85-57,1,up 6.5,Breslow,Chamberlain,Uehara,4:32,N,40481,+++,,2013
317,143,"Friday, Sep 6",boxscore,BOS,@,NYY,W,12,8,,86-57,1,up 7.5,Workman,Claiborne,,4:00,N,44117,++++,,2013
318,144,"Saturday, Sep 7",boxscore,BOS,@,NYY,W,13,9,,87-57,1,up 8.5,Lackey,Huff,,3:32,D,49046,+++++,,2013
319,145,"Sunday, Sep 8",boxscore,BOS,@,NYY,L-wo,3,4,,87-58,1,up 7.5,Rivera,Workman,,3:15,D,43078,-,,2013
320,146,"Tuesday, Sep 10",boxscore,BOS,@,TBR,W,2,0,,88-58,1,up 8.5,Buchholz,Price,Uehara,3:09,N,18605,+,,2013
321,147,"Wednesday, Sep 11",boxscore,BOS,@,TBR,W,7,3,10,89-58,1,up 9.5,Uehara,Peralta,,4:05,N,19215,++,,2013
322,148,"Thursday, Sep 12",boxscore,BOS,@,TBR,L,3,4,,89-59,1,up 8.5,McGee,De La Rosa,Rodney,3:17,N,20360,-,,2013
323,149,"Friday, Sep 13",boxscore,BOS,,NYY,W,8,4,,90-59,1,up 8.5,Workman,Kuroda,,3:06,N,37542,+,,2013
324,150,"Saturday, Sep 14",boxscore,BOS,,NYY,W,5,1,,91-59,1,up 8.5,Lester,Sabathia,,2:43,D,37510,++,,2013
325,151,"Sunday, Sep 15",boxscore,BOS,,NYY,W,9,2,,92-59,1,up 9.5,Buchholz,Nova,,3:13,N,37137,+++,,2013
326,152,"Tuesday, Sep 17",boxscore,BOS,,BAL,L,2,3,,92-60,1,up 9.0,Hunter,Uehara,Johnson,3:08,N,35030,-,,2013
327,153,"Wednesday, Sep 18",boxscore,BOS,,BAL,L,3,5,12,92-61,1,up 8.0,McFarland,Morales,Johnson,4:01,N,38540,--,,2013
328,154,"Thursday, Sep 19",boxscore,BOS,,BAL,W,3,1,,93-61,1,up 9.0,Lackey,Tillman,,2:18,N,36436,+,,2013
329,155,"Friday, Sep 20",boxscore,BOS,,TOR,W,6,3,,94-61,1,up 9.0,Lester,Rogers,Uehara,3:26,N,37215,++,,2013
330,156,"Saturday, Sep 21",boxscore,BOS,,TOR,L,2,4,,94-62,1,up 8.0,Buehrle,Buchholz,Janssen,3:07,N,37569,-,,2013
331,157,"Sunday, Sep 22",boxscore,BOS,,TOR,W,5,2,,95-62,1,up 8.0,Doubront,Dickey,Uehara,2:13,D,37020,+,,2013
332,158,"Tuesday, Sep 24",boxscore,BOS,@,COL,L,3,8,,95-63,1,up 6.5,Chatwood,Lackey,,2:40,N,32315,-,,2013
333,159,"Wednesday, Sep 25",boxscore,BOS,@,COL,W,15,5,,96-63,1,up 6.5,Peavy,Chacin,,3:30,N,48775,+,,2013
334,160,"Friday, Sep 27",boxscore,BOS,@,BAL,W,12,3,,97-63,1,up 7.0,Buchholz,Feldman,,3:16,N,30774,++,,2013
335,161,"Saturday, Sep 28",boxscore,BOS,@,BAL,L,5,6,,97-64,1,up 7.0,Gausman,Tazawa,Johnson,3:21,N,36556,-,,2013
336,162,"Sunday, Sep 29",boxscore,BOS,@,BAL,L,6,7,,97-65,1,up 6.0,McFarland,De La Rosa,Johnson,3:23,D,44230,--,,2013
337,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2013
338,1,"Monday, Mar 31",boxscore,BOS,@,BAL,L,1,2,,0-1,4,1,Britton,Lester,Hunter,2:53,D,46685,-,,2014
339,Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
340,2,"Wednesday, Apr 2",boxscore,BOS,@,BAL,W,6,2,,1-Jan,2,0.5,Lackey,Jimenez,,2:43,N,25708,+,,2014
341,3,"Thursday, Apr 3",boxscore,BOS,@,BAL,W,4,3,,1-Feb,1,up 0.5,Doubront,Chen,Uehara,2:55,N,20880,++,,2014
342,4,"Friday, Apr 4",boxscore,BOS,,MIL,L,2,6,,2-Feb,2,0.5,Kintzler,Mujica,,3:19,D,36728,-,,2014
343,5,"Saturday, Apr 5",boxscore,BOS,,MIL,L,6,7,11,3-Feb,3,1.5,Thornburg,Badenhop,Rodriguez,4:23,N,35729,--,,2014
344,6,"Sunday, Apr 6",boxscore,BOS,,MIL,L,0,4,,4-Feb,4,1.5,Gallardo,Lester,,2:57,D,35958,---,,2014
345,7,"Monday, Apr 7",boxscore,BOS,,TEX,W,5,1,,4-Mar,3,1,Lackey,Scheppers,,3:07,N,35842,+,,2014
346,8,"Tuesday, Apr 8",boxscore,BOS,,TEX,L,7,10,,5-Mar,4,1.5,Perez,Doubront,,3:11,N,34142,-,,2014
347,9,"Wednesday, Apr 9",boxscore,BOS,,TEX,W,4,2,,5-Apr,3,1,Miller,Ogando,Uehara,2:57,D,33585,+,,2014
348,10,"Thursday, Apr 10",boxscore,BOS,@,NYY,L,1,4,,6-Apr,5,1,Pineda,Buchholz,Phelps,2:55,N,42821,-,,2014
349,11,"Friday, Apr 11",boxscore,BOS,@,NYY,W,4,2,,6-May,3,1,Lester,Sabathia,Mujica,3:01,N,44121,+,,2014
350,12,"Saturday, Apr 12",boxscore,BOS,@,NYY,L,4,7,,7-May,5,2,Kuroda,Lackey,Kelley,3:07,D,48572,-,,2014
351,13,"Sunday, Apr 13",boxscore,BOS,@,NYY,L,2,3,,8-May,5,2,Nova,Doubront,Kelley,3:08,N,46081,--,,2014
352,14,"Tuesday, Apr 15",boxscore,BOS,@,CHW,L-wo,1,2,,9-May,5,3,Webb,Badenhop,,3:36,N,13402,---,,2014
353,15,"Wednesday, Apr 16",boxscore,BOS,@,CHW,W,6,4,14,9-Jun,5,3,Capuano,Garcia,Badenhop,5:17,N,13302,+,,2014
354,16,"Thursday, Apr 17",boxscore,BOS,@,CHW,W,3,1,,9-Jul,4,3,Lester,Belisario,Uehara,2:54,N,17454,++,,2014
355,17,"Friday, Apr 18",boxscore,BOS,,BAL,L,4,8,,10-Jul,5,3,Tillman,Lackey,O'Day,3:26,N,36408,-,,2014
356,18,"Saturday, Apr 19",boxscore,BOS,,BAL,W,4,2,,10-Aug,5,2,Tazawa,Norris,Uehara,2:47,D,37689,+,,2014
357,19,"Sunday, Apr 20",boxscore,BOS,,BAL,W-wo,6,5,,10-Sep,3,2,Mujica,Matusz,,3:22,N,33947,++,,2014
358,20,"Monday, Apr 21",boxscore,BOS,,BAL,L,6,7,,11-Sep,5,2.5,Chen,Buchholz,Hunter,3:18,D,37513,-,,2014
359,21,"Tuesday, Apr 22",boxscore,BOS,,NYY,L,3,9,,12-Sep,5,3.5,Tanaka,Lester,,3:17,N,37041,--,,2014
360,22,"Wednesday, Apr 23",boxscore,BOS,,NYY,W,5,1,,12-Oct,5,2.5,Lackey,Pineda,,3:12,N,37015,+,,2014
361,23,"Thursday, Apr 24",boxscore,BOS,,NYY,L,5,14,,13-Oct,5,3.5,Sabathia,Doubront,,3:51,N,37356,-,,2014
362,24,"Friday, Apr 25",boxscore,BOS,@,TOR,W,8,1,,13-Nov,4,2.5,Peavy,Buehrle,,2:57,N,29411,+,,2014
363,25,"Saturday, Apr 26",boxscore,BOS,@,TOR,W,7,6,,13-Dec,3,2.5,Buchholz,Morrow,Uehara,3:23,D,40322,++,,2014
364,26,"Sunday, Apr 27",boxscore,BOS,@,TOR,L,1,7,,14-Dec,4,3.5,Dickey,Lester,,2:28,D,45260,-,,2014
365,27,"Tuesday, Apr 29",boxscore,BOS,,TBR,W,7,4,,13-14,3,2.5,Lackey,Gomes,Uehara,3:40,N,34794,+,,2014
366,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
367,28,"Thursday, May 1 (1)",boxscore,BOS,,TBR,L,1,2,,13-15,4,3,Gomes,Peavy,Balfour,3:27,D,35621,-,,2014
368,29,"Thursday, May 1 (2)",boxscore,BOS,,TBR,L,5,6,,13-16,4,3,McGee,Uehara,Balfour,3:44,N,33465,--,2014-04-30 (Rain),2014
369,30,"Friday, May 2",boxscore,BOS,,OAK,W,7,1,,14-16,3,2.5,Buchholz,Straily,,3:37,N,34850,+,,2014
370,31,"Saturday, May 3",boxscore,BOS,,OAK,W,6,3,,15-16,3,2,Lester,Milone,Uehara,2:44,D,37042,++,,2014
371,32,"Sunday, May 4",boxscore,BOS,,OAK,L,2,3,10,15-17,3,2,Johnson,Capuano,,3:45,D,35649,-,,2014
372,33,"Tuesday, May 6",boxscore,BOS,,CIN,W-wo,4,3,12,16-17,3,1.5,Breslow,Ondrusek,,4:04,N,36004,+,,2014
373,34,"Wednesday, May 7",boxscore,BOS,,CIN,W,4,3,,17-17,3,1.5,Breslow,Hoover,Uehara,2:47,N,37072,++,,2014
374,35,"Friday, May 9",boxscore,BOS,@,TEX,L,0,8,,17-18,4,3,Darvish,Buchholz,,3:10,N,45392,-,,2014
375,36,"Saturday, May 10",boxscore,BOS,@,TEX,W,8,3,,18-18,3,3,Lester,Perez,,3:09,N,47964,+,,2014
376,37,"Sunday, May 11",boxscore,BOS,@,TEX,W,5,2,,19-18,3,2,Lackey,Ross,Uehara,2:47,D,41407,++,,2014
377,38,"Tuesday, May 13",boxscore,BOS,@,MIN,L-wo,6,8,,19-19,2,1.5,Perkins,Miller,,3:25,N,23949,-,,2014
378,39,"Wednesday, May 14",boxscore,BOS,@,MIN,W,9,4,,20-19,2,0.5,Doubront,Correia,,3:07,N,26802,+,,2014
379,40,"Thursday, May 15",boxscore,BOS,@,MIN,L-wo,3,4,10,20-20,3,1.5,Duensing,Miller,,3:21,D,29628,-,,2014
380,41,"Friday, May 16",boxscore,BOS,,DET,L,0,1,,20-21,4,2.5,Scherzer,Lester,Nathan,3:14,N,37225,--,,2014
381,42,"Saturday, May 17",boxscore,BOS,,DET,L,1,6,,20-22,4,2.5,Porcello,Lackey,,2:49,N,37608,---,,2014
382,43,"Sunday, May 18",boxscore,BOS,,DET,L,2,6,,20-23,4,3,Sanchez,Peavy,,3:19,N,35006,----,,2014
383,44,"Tuesday, May 20",boxscore,BOS,,TOR,L,4,7,,20-24,4,3.5,Happ,Doubront,Janssen,3:17,N,37904,-----,,2014
384,45,"Wednesday, May 21",boxscore,BOS,,TOR,L,4,6,,20-25,4,4,Hutchison,Buchholz,Janssen,3:23,N,36116,------,,2014
385,46,"Thursday, May 22",boxscore,BOS,,TOR,L,2,7,,20-26,4,5,Buehrle,Lester,,2:58,D,36018,-------,,2014
386,47,"Friday, May 23",boxscore,BOS,@,TBR,L-wo,0,1,,20-27,4,6,Oviedo,Miller,,3:25,N,20898,--------,,2014
387,48,"Saturday, May 24",boxscore,BOS,@,TBR,L-wo,5,6,15,20-28,5,7,Ramos,Miller,,5:16,D,23569,---------,,2014
388,49,"Sunday, May 25",boxscore,BOS,@,TBR,L,5,8,,20-29,5,8,Peralta,Breslow,Balfour,3:27,D,26199,----------,,2014
389,50,"Monday, May 26",boxscore,BOS,@,ATL,W,8,6,,21-29,5,8,Mujica,Thomas,Uehara,3:40,D,48501,+,,2014
390,51,"Tuesday, May 27",boxscore,BOS,@,ATL,W,6,3,,22-29,4,8,Lester,Varvaro,Uehara,3:32,N,37168,++,,2014
391,52,"Wednesday, May 28",boxscore,BOS,,ATL,W,4,0,,23-29,4,8,Lackey,Floyd,,3:09,N,36189,+++,,2014
392,53,"Thursday, May 29",boxscore,BOS,,ATL,W-wo,4,3,,24-29,4,7,Uehara,Kimbrel,,3:00,N,36292,++++,,2014
393,54,"Friday, May 30",boxscore,BOS,,TBR,W-wo,3,2,10,25-29,4,6,Miller,Oviedo,,3:55,N,35820,+++++,,2014
394,55,"Saturday, May 31",boxscore,BOS,,TBR,W,7,1,,26-29,4,6,De La Rosa,Odorizzi,,3:07,N,37076,++++++,,2014
395,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2014
396,56,"Sunday, Jun 1",boxscore,BOS,,TBR,W,4,0,,27-29,4,6,Lester,Bedard,,3:12,D,37688,+++++++,,2014
397,57,"Monday, Jun 2",boxscore,BOS,@,CLE,L,2,3,,27-30,4,6.5,Masterson,Lackey,Allen,2:21,N,14078,-,,2014
398,58,"Tuesday, Jun 3",boxscore,BOS,@,CLE,L,3,5,,27-31,4,7.5,Hagadone,Peavy,Allen,3:09,N,18738,--,,2014
399,59,"Wednesday, Jun 4",boxscore,BOS,@,CLE,L-wo,4,7,12,27-32,4,8.5,Carrasco,Mujica,,4:29,N,20209,---,,2014
400,60,"Friday, Jun 6",boxscore,BOS,@,DET,L,2,6,,27-33,4,10,Smyly,De La Rosa,,2:49,N,39762,----,,2014
401,61,"Saturday, Jun 7",boxscore,BOS,@,DET,L,6,8,,27-34,4,10,Scherzer,Lester,,3:36,N,43359,-----,,2014
402,62,"Sunday, Jun 8",boxscore,BOS,@,DET,W,5,3,,28-34,4,9,Lackey,Chamberlain,Uehara,3:35,N,33835,+,,2014
403,63,"Monday, Jun 9",boxscore,BOS,@,BAL,L,0,4,,28-35,4,10,Norris,Peavy,,2:21,N,19729,-,,2014
404,64,"Tuesday, Jun 10",boxscore,BOS,@,BAL,W,1,0,,29-35,4,9,Workman,Tillman,Uehara,2:32,N,24184,+,,2014
405,65,"Wednesday, Jun 11",boxscore,BOS,@,BAL,L,0,6,,29-36,4,9,Chen,De La Rosa,,2:49,N,25886,-,,2014
406,66,"Thursday, Jun 12",boxscore,BOS,,CLE,W,5,2,,30-36,4,8,Lester,Tomlin,Uehara,3:08,N,37750,+,,2014
407,67,"Friday, Jun 13",boxscore,BOS,,CLE,W,10,3,,31-36,4,8,Lackey,Masterson,,3:13,N,35772,++,,2014
408,68,"Saturday, Jun 14",boxscore,BOS,,CLE,L,2,3,,31-37,4,8,Axford,Breslow,Allen,3:24,D,37181,-,,2014
409,69,"Sunday, Jun 15",boxscore,BOS,,CLE,L,2,3,11,31-38,4,9,Allen,Tazawa,,4:03,D,37356,--,,2014
410,70,"Monday, Jun 16",boxscore,BOS,,MIN,W,1,0,,32-38,4,8.5,De La Rosa,Correia,Uehara,2:45,N,35693,+,,2014
411,71,"Tuesday, Jun 17",boxscore,BOS,,MIN,W,2,1,,33-38,4,7.5,Lester,Hughes,Mujica,2:48,N,36835,++,,2014
412,72,"Wednesday, Jun 18",boxscore,BOS,,MIN,W-wo,2,1,10,34-38,4,6.5,Uehara,Fien,,2:31,D,36489,+++,,2014
